x,y
5.978951695420037140e+02,3.418599377241066009e+02
5.850368992369834586e+02,2.383477950213207350e+02
7.249064025317866253e+02,2.531314206621915162e+02
7.057796467048713112e+02,2.322843911839780731e+02
6.727509040124447210e+02,2.334439456492625027e+02
5.575525594215836236e+02,2.525098370209029213e+02
6.233350709088848589e+02,2.658546607012266918e+02
6.648313350922463769e+02,2.579376673313130368e+02
6.279957292382711103e+02,2.782031411648921448e+02
6.440898955757481872e+02,2.188455220768878746e+02
6.112281654531594768e+02,2.803966406352891454e+02
5.698368668033070890e+02,2.672868386505650165e+02
5.383667872034549191e+02,2.522348526132794291e+02
6.124695548886919596e+02,2.617760012926057129e+02
5.750342335269152727e+02,2.670024184236347651e+02
4.928018590722291492e+02,2.945225291992410348e+02
5.872292833642901542e+02,2.671314315306642015e+02
4.683166888548714724e+02,2.686951415962074634e+02
6.367693679607825743e+02,2.671422678609526429e+02
5.715459324448379448e+02,3.142951079457772039e+02
6.329395509902736876e+02,1.967656449658733777e+02
6.181771019505771392e+02,2.543839326951915609e+02
6.424287883581989718e+02,3.238492394831311003e+02
6.416196351340709043e+02,3.202071125971272068e+02
6.833233458134678813e+02,3.295018315713573429e+02
6.030955398907796052e+02,3.338812546834102477e+02
6.850955551234156928e+02,3.519387947362627074e+02
6.394395911698309192e+02,2.910863297140128907e+02
6.532249576313256512e+02,3.136580201757394661e+02
7.856301041907177023e+02,2.345068797307636714e+02
6.740138834690537806e+02,2.795292033614044840e+02
7.590313809981746545e+02,2.804098659846545161e+02
6.878832010583278134e+02,2.632567942739010505e+02
5.405033698491149607e+02,2.824932120538896356e+02
6.207172983503631940e+02,2.689315323494460017e+02
6.490300800057132165e+02,2.776241446494885281e+02
5.568444183988599434e+02,3.220083408807644787e+02
6.438868799765782569e+02,2.344217361956665684e+02
6.384399805955516740e+02,2.806274031849590074e+02
6.154426739677945761e+02,3.590829926691604328e+02
5.262291222697340345e+02,3.625017158357638891e+02
6.599718555725063425e+02,3.044591741575341644e+02
6.329510047742681991e+02,3.262698290763637488e+02
6.197223861427771681e+02,3.564487644846619219e+02
5.611153558623562958e+02,3.561810264550899205e+02
5.416388587576304872e+02,3.845058936058518384e+02
6.449345363003304783e+02,3.146779526103109674e+02
5.976902086451747209e+02,3.468062538070686287e+02
4.978916132826051921e+02,2.470383002789244244e+02
6.723083660706281535e+02,3.308743206714808025e+02
6.481047776799382518e+02,2.955302882088199681e+02
7.026977018252131302e+02,2.564066249752338535e+02
4.883148875832093836e+02,3.035267041642498498e+02
6.509509482366336215e+02,3.089897462141261144e+02
5.479776282113285788e+02,3.905437081402862987e+02
6.764064738694349899e+02,3.560219764634859416e+02
6.997194548955657183e+02,3.846677624217566063e+02
6.393088079723183910e+02,3.174893368784690892e+02
6.158061071469809349e+02,3.191462658663216416e+02
6.004562975559647384e+02,2.849092673508112057e+02
7.141745150010821135e+02,2.931773094943279148e+02
7.592144891983332400e+02,3.181466177763960559e+02
6.057268252833335964e+02,2.647246233305024248e+02
6.869386255602141773e+02,3.163257162805219878e+02
6.671163366131768271e+02,2.621252479874048618e+02
7.079235243560209483e+02,2.487838296886652074e+02
6.747767711123506160e+02,2.787019587375106084e+02
6.149868148556170127e+02,2.519375026560145727e+02
6.619118298761920869e+02,2.598451824902200542e+02
5.649753394757292426e+02,2.626266543132863944e+02
6.979521787976023006e+02,2.951628233508429275e+02
6.084618270013155552e+02,2.969578460570980951e+02
5.864485902455171527e+02,2.254626309054125386e+02
6.327039247047146091e+02,2.963268863797205768e+02
6.750973001058727050e+02,3.247544650034123492e+02
6.347950739585447764e+02,3.435003907320501639e+02
6.056125534547289817e+02,2.584897312724369272e+02
5.912551034722588383e+02,3.106977473261126192e+02
6.222776208529269297e+02,3.466117110769305327e+02
5.028244106603526689e+02,2.878377087028416099e+02
6.816180882131866383e+02,3.028621432912985938e+02
5.903982711729564699e+02,3.030342534900061082e+02
5.312628515990196547e+02,2.644541527906861234e+02
5.845400361532829265e+02,3.069114862049946169e+02
5.665173078379888238e+02,2.843592041465224725e+02
5.997244369177174121e+02,2.591349735151399614e+02
7.345842417053510189e+02,3.080241311187143083e+02
6.417267580300240297e+02,2.288011562635292080e+02
6.602788339576981116e+02,2.227829017841413588e+02
6.699529949131671174e+02,3.417690052044380877e+02
6.821641674771648240e+02,3.081904207013400878e+02
6.674405490903752707e+02,2.841976083831244182e+02
6.711510489362545968e+02,2.844897930035403419e+02
7.094363362325350408e+02,3.046397184137423437e+02
