x,y
6.346746199946742308e+02,3.631447767508911966e+02
5.274423888921448906e+02,3.427121277398496204e+02
7.091403108243387123e+02,3.088905426174700324e+02
7.012650266620761386e+02,2.928481219802776536e+02
6.809895552232627551e+02,3.253656458746452813e+02
6.336265571153847986e+02,2.992005068501194387e+02
5.583695050493827239e+02,3.349252503451310758e+02
5.711304468698124310e+02,3.352876850607237316e+02
6.927745077556348861e+02,3.125476245870913772e+02
6.720012674335995371e+02,3.174268052669688132e+02
6.798718243798010690e+02,3.323022340751479078e+02
6.414129891685275879e+02,2.933511713708654725e+02
6.292648590065285816e+02,2.991609281510571918e+02
5.746211535998600084e+02,3.167957243566409034e+02
7.237136693240964860e+02,2.781711713988074735e+02
7.327661285357688712e+02,3.355442854742832992e+02
5.907491034770532679e+02,3.941320072804672918e+02
5.414350609251796413e+02,3.870007948620433353e+02
5.532671944044341217e+02,3.863808181089006553e+02
7.379239288516687338e+02,3.478432826130627973e+02
7.189818702124445053e+02,3.385406501219392794e+02
7.321691884980499481e+02,3.137197016436467720e+02
6.311925533073759880e+02,2.972174274245269316e+02
7.031567528684262243e+02,3.276174872899938464e+02
7.801135296280742750e+02,3.058339533321069439e+02
6.630712975428851905e+02,3.268838028305497119e+02
6.574144951489485038e+02,3.347481001628337935e+02
6.260246689330783738e+02,3.498368812580785630e+02
5.541159263945019120e+02,3.347982640218637584e+02
7.987972663076585604e+02,2.901939385351321903e+02
7.480369665420713545e+02,3.191732054534987810e+02
6.019942062619692251e+02,3.407731968800285358e+02
6.686382342210512206e+02,3.311695855639829347e+02
5.856888175971159853e+02,3.412787458712429611e+02
7.413091454669979612e+02,2.837033244248851815e+02
6.432189763427213620e+02,3.132948210829059690e+02
5.811798737108296109e+02,3.526344929664893471e+02
5.452572868567509659e+02,3.421023388558072611e+02
6.796343453414410760e+02,3.197638565151522130e+02
6.030824602268794479e+02,3.753839486126781253e+02
5.463131779701416235e+02,4.046272961487090924e+02
6.472908997708109382e+02,3.786103133355568389e+02
6.610449043209066531e+02,3.914948528444788280e+02
7.376430093149624554e+02,3.129976660763249470e+02
6.425417274482433641e+02,3.642572145964689980e+02
6.272995180796667682e+02,3.960615292685162672e+02
6.507362277566408011e+02,4.119102724279671293e+02
6.394082055359915557e+02,3.160721062726445894e+02
6.534570378108520572e+02,3.649140459274475461e+02
7.772669655742161012e+02,2.549630180106824753e+02
7.569545077132879669e+02,3.215588290963250415e+02
5.669290699662485622e+02,3.275573425133340493e+02
4.803303279538797597e+02,2.169418527831342089e+02
6.685549061268453670e+02,4.011190992376932627e+02
7.051215645513267418e+02,3.259813342659583668e+02
6.518229101319104757e+02,3.469102588192980079e+02
6.563522205133191392e+02,3.955520979796485221e+02
6.791970726477835569e+02,2.982206698086177994e+02
5.959794171965125997e+02,3.072297063864672850e+02
6.639243600960517142e+02,2.668021622664178949e+02
6.032906993016899833e+02,3.401476302497441111e+02
8.003754428056622601e+02,3.132428575657897909e+02
6.428916900285998963e+02,3.156487735459119790e+02
6.247803591871321487e+02,3.234349045452900668e+02
7.428414439731752736e+02,3.293285392145537571e+02
